season_id,episode_id,scene_id,utterance_id,speaker,transcript,emotion,character_entities,num_talked_about
s01,e01,c04,u001,Ross Geller,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",Mad,"['Ross Geller', 'Ross Geller', 'Ross Geller', 'Ross Geller']",4
s01,e01,c04,u003,Joey Tribbiani,I'm thinking we've got a bookcase here.,Neutral,"['Joey Tribbiani', 'Ross Geller', 'Joey Tribbiani', 'Chandler Bing']",4
s01,e01,c04,u004,Chandler Bing,It's a beautiful thing.,Joyful,[],0
s01,e01,c04,u005,Joey Tribbiani,What's this?,Neutral,[],0
s01,e01,c04,u006,Chandler Bing,I would have to say that is an 'L'-shaped bracket.,Neutral,['Chandler Bing'],1
s01,e01,c04,u007,Joey Tribbiani,Which goes where?,Neutral,[],0
s01,e01,c04,u008,Chandler Bing,I have no idea.,Scared,['Chandler Bing'],1
s01,e01,c04,u010,Joey Tribbiani,Done with the bookcase!,Joyful,[],0
s01,e01,c04,u011,Chandler Bing,All finished!,Joyful,[],0
s01,e01,c04,u012,Ross Geller,"This was Carol's favorite beer. She always drank it out of the can, I should have known.",Sad,"['Carol Willick', 'Ross Geller']",2
s01,e01,c04,u013,Joey Tribbiani,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",Mad,"['Ross Geller', 'Ross Geller', 'Joey Tribbiani', 'Chandler Bing']",4
s01,e01,c04,u014,Chandler Bing,"Yes, please don't spoil all this fun.",Scared,[],0
s01,e01,c04,u015,Joey Tribbiani,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",Neutral,"['Carol Willick', 'Ross Geller']",2
s01,e01,c04,u016,Ross Geller,You guys.,Sad,"['Joey Tribbiani', 'Chandler Bing']",2
s01,e01,c04,u017,Chandler Bing,"Oh, God.",Sad,[],0
s01,e01,c04,u018,Joey Tribbiani,You got screwed.,Mad,['Ross Geller'],1
s01,e01,c04,u019,Chandler Bing,Oh my God!,Mad,[],0
s01,e01,c05,u001,Monica Geller,Oh my God!,Mad,[],0
s01,e01,c05,u002,Paul the Wine Guy,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Sad,"['Paul the Wine Guy', 'Paul the Wine Guy', ""Paul's ex-girlfriend"", 'Person 1']",4
s01,e01,c05,u003,Monica Geller,"My brother's going through that right now, he's such a mess. How did you get through it?",Sad,['Paul the Wine Guy'],1
s01,e01,c05,u004,Paul the Wine Guy,"Well, you might try accidentally breaking something valuable of hers, say her-",Powerful,"['Monica Geller', ""Paul's ex-girlfriend"", ""Paul's ex-girlfriend""]",3
s01,e01,c05,u005,Monica Geller,-leg?,Joyful,[],0
s01,e01,c05,u006,Paul the Wine Guy,"That's one way! Me, I- I went for the watch.",Joyful,"['Paul the Wine Guy', 'Paul the Wine Guy', 'Paul the Wine Guy']",3
s01,e01,c05,u007,Monica Geller,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",Powerful,[],0
s01,e01,c05,u008,Paul the Wine Guy,"Ooh, steer clear of you.",Peaceful,['Monica Geller'],1
s01,e01,c05,u009,Monica Geller,That's right.,Powerful,[],0
s01,e01,c07,u001,Ross Geller,I'm divorced! I'm only 26 and I'm divorced!,Sad,"['Ross Geller', 'Ross Geller']",2
s01,e01,c07,u002,Joey Tribbiani,Shut up!,Mad,[],0
s01,e01,c07,u003,Chandler Bing,You must stop!,Mad,['Ross Geller'],1
s01,e01,c07,u004,Ross Geller,That only took me an hour.,Sad,['Ross Geller'],1
s01,e01,c07,u005,Chandler Bing,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",Sad,"['Ross Geller', 'Carol Willick']",2
s01,e01,c07,u006,Ross Geller,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",Scared,['#GENERAL#'],1
s01,e01,c07,u007,Joey Tribbiani,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",Powerful,['#GENERAL#'],1
s01,e01,c07,u008,Ross Geller,I honestly don't know if I'm hungry or horny.,Scared,"['Ross Geller', 'Ross Geller']",2
s01,e01,c07,u009,Chandler Bing,Stay out of my freezer!,Mad,['Chandler Bing'],1
s01,e01,c08,u001,Paul the Wine Guy,"Ever since she walked out on me, I, uh...",Sad,"[""Paul's ex-girlfriend"", 'Paul the Wine Guy', 'Paul the Wine Guy']",3
s01,e01,c08,u002,Monica Geller,"What?..... What, you wanna spell it out with noodles?",Neutral,['Paul the Wine Guy'],1
s01,e01,c08,u003,Paul the Wine Guy,"No, it's, it's more of a fifth date kinda revelation.",Sad,[],0
s01,e01,c08,u004,Monica Geller,"Oh, so there is gonna be a fifth date?",Neutral,[],0
s01,e01,c08,u005,Paul the Wine Guy,Isn't there?,Scared,[],0
s01,e01,c08,u006,Monica Geller,"Yeah... yeah, I think there is. -What were you gonna say?",Neutral,['Monica Geller'],1
s01,e01,c08,u007,Paul the Wine Guy,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",Sad,"[""Paul's ex-girlfriend"", 'Paul the Wine Guy', 'Paul the Wine Guy']",3
s01,e01,c08,u008,Monica Geller,"Oh God, oh God, I am sorry... I am so sorry...",Neutral,['Monica Geller'],1
s01,e01,c08,u009,Paul the Wine Guy,It's okay...,Sad,[],0
s01,e01,c08,u010,Monica Geller,I know being spit on is probably not what you need right now. Um... how long?,Neutral,[],0
s01,e01,c08,u011,Paul the Wine Guy,Two years.,Neutral,[],0
s01,e01,c08,u012,Monica Geller,Wow! I'm-I'm-I'm glad you smashed her watch!,Joyful,"['Monica Geller', 'Monica Geller', 'Monica Geller', 'Paul the Wine Guy', ""Paul's ex-girlfriend""]",5
s01,e01,c08,u013,Paul the Wine Guy,"So you still think you, um... might want that fifth date?",Neutral,[],0
s01,e01,c08,u014,Monica Geller,"...Yeah. Yeah, I do.",Neutral,[],0
s01,e01,c10,u001,Ross Geller,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",Peaceful,"['Joey Tribbiani', 'Ross Geller']",2
