season_id,episode_id,scene_id,plot
s01,e01,c01,No plot availble for scene
s01,e01,c02,No plot availble for scene
s01,e01,c03,No plot availble for scene
s01,e01,c04,"Meanwhile , the guys attempt to construct Ross ' new furniture . The apartment is practically empty , as Carol has taken all of the furniture , the stereo and the good TV. Ross confides in his friends about his upset at being divorced at twenty - six . Chandler says the bookcase is finished . Joey is done with the bookcase ."
s01,e01,c05,No plot availble for scene
s01,e01,c06,No plot availble for scene
s01,e01,c07,"Joey compares women to ice cream . Ross is divorced and 26 Joey reminds Ross that there are many different women in the world , just like there are many different flavors of ice cream in the world , and encourages Ross to metaphorically "" grab a spoon "" . Ross tells Joey he is worried he is a failure . Ross is upset about his divorce and Chandler and Ross are trying to help Ross look on the bright side . Chandler and Joey give dating advice while comparing women to the flavor options of ice cream ."
s01,e01,c08,"On her date , Monica is getting to know Paul , who reveals to her that it has been two years since he last performed sexually ."
s01,e01,c09,No plot availble for scene
s01,e01,c10,"After Joey leaves to go out on on a date with a woman whose name he has trouble remembering , Ross asks Chandler , Ross gazes out of the window , and in the next clip , we see Rachel sitting on the window seat at Monica 's apartment with a saddened , lonely expression . Ross and Joey are talking as Ross tells Joey that he has a date and the two briefly discuss their dating life . Ross wonders if he can get things together to ask a woman out ."
s01,e01,c11,No plot availble for scene
s01,e01,c12,"Monica then goes to work , where a colleague , Frannie , tells Monica that Frannie too had slept with Paul , and that Frannie was Paul 's first sexual partner for two years . Monica slept with Paul the Wine Guy ."
s01,e01,c13,"Shocked , Monica spits soup on Joey and quickly apologizes . Monica and Joey went to a party . Rachel arrives after buying herself a pair of fancy boots with Rachel 's father 's credit card . Rachel just went through twelve interviews in one day , but did n't get hired ."
s01,e01,c14,No plot availble for scene
s01,e01,c15,"When the gang ask Rachel if she has made the coffee , she tells them that she is just serving it - so they feel safe to drink it . Chandler dreams about being in Las Vegas . Phoebe repeats what Monica and Joey says in song , to their annoyance ."
s01,e02,c01,"Ross mentions that men do not dislike the comedian - it is just not why they bought the ticket . Continuing the metaphorical theme , Rachel makes the point that , if men do n't bring the comedian back after the show , men will be sitting at home next time , listening to the Pink Floyd album alone . Joey is completely stumped at this point , unsure whether Ross , Chandler , Rachel and Joey are still talking about sex . Rachel , Monica , Joey , Chandler , and Ross discuss kissing before sex ."
s01,e02,c02,"Ross finds out his ex-wife ( Carol ) , who is now a lesbian , is pregnant . At the Museum of Prehistoric History , Ross and a colleague set up a display of cave people . Carol sees Ross at the museum and tells Ross that Carol is pregnant . Ross ' homosexual ex-wife Carol arrives , and Carol makes it clear to Ross that Carol is still a lesbian . Carol tells Ross that Carol is pregnant . It is a little uncomfortable between them , so Carol announces that she is pregnant with his child ."
s01,e02,c03,No plot availble for scene
s01,e02,c04,No plot availble for scene
s01,e02,c05,No plot availble for scene
s01,e02,c06,Carol thinks Dr. Oberman is very supportive . Carol told that Dr . Oberman is very supportive .
s01,e02,c07,Rachel explains to Robbie why she has just had an awkward exchange with Dr Farber .
s01,e02,c08,Carol and Susan usurp name control overt the new baby .
s01,e02,c09,"Rachel is upset to learn that Barry went on their honeymoon without Rachel . Barry is now seeing Rachel 's prior maid of honor . Rachel returns the ring to Barry , who is much less upset about the break - up than expected . At Barry 's dental clinic , Rachel learns that Barry is now with Mindy , her former maid of honor , and that Barry went on Barry 's and Rachel 's honeymoon with Mindy . Rachel tries to play it cool , but Rachel is actually hurt that Barry has already forgotten Rachel and moved on so quickly . Rachel becomes angry and begins to yell at Barry because of Barry 's new romance . Barry and Rachel discuss their failed relationship and she returns her ring . Barry tells Rachel that he went on their honeymoon with Mindy ."
s01,e02,c10,"Ross is about to leave , but then Ross sees the sonogram on the monitor , so Ross stays to watch . Ross argues With Carol and Susan over the last name of their child . Susan tried to explain that this is her baby too ."
s01,e02,c11,"Rachel hangs up , but not before shouting down the phone , Ross is showing everyone his sonogram , they ca n't really tell what it is but Monica is touched and begins to well up . Rachel puts Mindy down over the phone . Rachel saw Barry today ."
s01,e03,c01,Ross reveals that he did not know his parents hid the fact that his dog had passed away . Joey explains the nuances to the phrase ' It 's not you ' when dating . The gang explains dating language to Rachel .
s01,e03,c02,Chandler enjoys Chandler 's first cigarette in many years . Joey becomes concerned that Chandler smoked a cigarette after being free from them for so long .
s01,e03,c03,No plot availble for scene
s01,e03,c04,No plot availble for scene
s01,e03,c05,No plot availble for scene
s01,e03,c06,"Monica 's new boyfriend ( Alan ) is a hit with Monica 's friends , but Monica is not too sure . Ross , Chandler and Rachel seem to really like Monica 's new boyfriend ( Alan ) . Ross , Phoebe , Chandler , Monica , and Joey all discuss how a softball game occurred as well as how improbable it was they had won except for the secret to their win ."
s01,e03,c07,"Phoebe gives the money and the phone away to Lizzy , a homeless acquaintance ."
s01,e03,c08,No plot availble for scene
s01,e03,c09,No plot availble for scene
